R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005445593888301067,-0.531293167569865,0.013728833570842154,0.532197977647685,0.02255930842184102,-1.1764705882352942,0.0070419708504658625,-1.9436345966958213,0.014863478945882073,-1.0702054794520548,0.015487691931222257,-1.212400',0.009509074985712615,-0.8134049129656743,0.0027392149574284905,-0.5066882853668423,0.009983307909175858,0.5295768680824021,0.012738674999458608,0.8236553825879253,0.043291729980821765,-0.2749972500274997,0.027412656423470714,-2.746900'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0062148974821585835,-0.46704964737751625,0.012850811078941246,0.5405113237122318,0.02291102959875914,-1.188495364868077,0.007342925641863488,-1.9932230416583614,0.015194681861348529,-1.0820168794633196,0.015165738776215874,-1.229000',0.009375005859378662,-0.8899964400142399,0.0029016281325614617,-0.5046681806712087,0.010053959601179531,0.5082592121982211,0.012270631225811518,0.8121497604158207,0.04288495681484849,-0.2757707793282224,0.028699757487049237,-3.111700'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005148413310501836,-0.5542315579449094,0.01324136762141341,0.528429507503699,0.022588660492432796,-1.1950286806883366,0.006918490496069606,-1.8789928598271326,0.015197545292484358,-1.0423181154888472,0.015465416236212582,-1.166000',0.008865460432120272,-0.8433836552247618,0.0032962516015662465,-0.510178052140197,0.010265854842865692,0.5023106288929075,0.013440029245503637,0.8151952392598028,0.043616125754013774,-0.27584684982897495,0.02847769626828268,-3.093300'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0051205662936675495,-0.5457621568520439,0.013964276587633516,0.5298574683410163,0.022762347435366315,-1.20033609410635,0.007151628103895992,-1.7733640716439085,0.015395866209922636,-1.102779003087781,0.015485965069857187,-1.159500',0.00971001053536143,-0.8772699359592947,0.002948553925955324,-0.5028663381273257,0.01008744808747028,0.5120327700972862,0.012824310789477397,0.8210180623973727,0.0519108379447461,-0.2628466289919832,0.029503398791540788,-3.111400'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005652818580136335,-0.5228484785109275,0.013725215691764598,0.524824183898394,0.023073692759936686,-1.1789672247111531,0.007641491772023735,-1.8218254691200582,0.015411502529027565,-1.1234692731153804,0.015302593483543592,-1.180700',0.009137001108318235,-0.846811753747142,0.002178284291803835,-0.5417705060136526,0.010328177851222597,0.5210504376823677,0.013190367338540012,0.8108327252087894,0.04316559184342977,-0.2769929643787048,0.02886194466010731,-3.120300'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005345606846653249,-0.5068423720223011,0.013631927063737437,0.5374321491911646,0.0226628895184136,-1.1873664212776063,0.007756158777877574,-1.8532246108228319,0.015287761535380466,-1.0767739851405191,0.015459773668913488,-1.158100',0.009622166392274555,-0.8426729586247577,0.0022550451561517294,-0.5482756730083886,0.009852595321396585,0.5151983513652756,0.01260142572530656,0.8012178511337232,0.043616696471409255,-0.27576317458566585,0.029328953542937592,-3.101200'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.0056148325909588835,-0.5707436790137549,0.013666859369383774,0.5279273571956499,0.023600045312087,-1.1899095668729176,0.007227919428936543,-1.7755681818181817,0.015431789177068979,-1.0699764605178685,0.015442536776401332,-1.209000',0.00905264110804327,-0.8373806732540613,0.0022133511109694564,-0.5525167136305873,0.009756887630900844,0.5368551028077522,0.012833214412213115,0.8074935400516796,0.04331554508281932,-0.2759534190628622,0.02928274836163023,-3.123800'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005786387407895178,-0.5116136293870869,0.013246313882004486,0.5332195798229711,0.02322227666555974,-1.2019230769230769,0.007053832735285882,-1.9447685725398678,0.015556672178914177,-1.104484205875856,0.015317853110979378,-1.169700',0.009292488509837958,-0.8620689655172414,0.0027923468474543712,-0.5318300271233314,0.01010156109525166,0.5375477073590281,0.013854003737810209,0.7917656373713381,0.05097853293977906,-0.26293647454774927,0.02960094959846312,-3.114500'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005801712549510365,-0.49404673682130334,0.013408618255297409,0.5324530110217773,0.02322572853303976,-1.2027904738994466,0.007050903291220639,-1.9519812609798948,0.015357420936157665,-1.0765421466250404,0.015761062295598725,-1.179900',0.009123396677076462,-0.8628872206402622,0.002667497503222337,-0.5708414202534536,0.010043367259827936,0.5555246930726071,0.014162320014615514,0.7844983133286264,0.043382818668494534,-0.2762278327164245,0.029031115549646113,-3.139700'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005348291434818233,-0.5578489345085351,0.013213129093592558,0.5313213963126295,0.02277287022424445,-1.1712344811431248,0.006696412129345218,-1.893580761219466,0.0151769019693548,-1.083658430862592,0.015158175561989359,-1.175700',0.009126152633077558,-0.8807468733485997,0.0029734126362306167,-0.5076399817249606,0.009568672930319967,0.5513591001819484,0.013471388118774536,0.8120178643930166,0.0429636312861163,-0.27532281600176206,0.02902007899265502,-3.114700'
