R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12
0.00872409271616775,-0.9292816652727441,0.0013606121557362117,-2.297794117647059,0.009917634049221217,0.5981218972426581,0.006542943958376408,0.8310479514667997,0.022158455112509554,-0.2959981056121241,0.029054648889095498,-3.331600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005919951598475731,-0.6434592368573451,0.012841553211544041,0.5398984990821726,0.029630068593608797,-1.3010668748373668,0.0024875281557093123,-2.0202020202020203,0.01341593974633141,-0.7086167800453514,0.01670330257698552,-1.860700'
0.007445417643257281,-0.9532888465204957,0.0012349502784318898,-2.1691973969631237,0.009357250465523211,0.6559958016268695,0.00579664443846746,0.8316699933466402,0.030598257123274256,-0.2643824027072758,0.028409010201675564,-3.332700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005952267575855698,-0.6666666666666666,0.012957261767785137,0.5389673385792821,0.03029229030919341,-1.3176966662274343,0.001692913885702919,-12.254901960784313,0.013672352998278651,-0.6710958996040535,0.017165466514466196,-1.890600'
0.007301460511146045,-1.0189525168127165,0.001401258301929967,-1.369675386933297,0.010614404171036262,0.7235366471311772,0.006769431144392643,0.7770007770007771,0.028559923002447585,-0.2688244307642679,0.028274306007159054,-3.327700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005636419385675379,-0.6852131012744963,0.012861339328432307,0.5514807257486352,0.029681253023777655,-1.3161358252171624,0.0010242451108683878,3.7878787878787876,0.012839739507364873,-0.6646726487205051,0.01730627785229092,-1.880400'
0.0074789225265894385,-0.9809691975671964,0.0017460929424320142,-0.7729767334003246,0.0105093570060103,0.6837139340899768,0.00607235330408888,0.8720676724513822,0.04020003537603113,-0.25271031816229056,0.02864443094973475,-3.326800',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005621852816520152,-0.6598046978094484,0.01338209769734245,0.5409791723018663,0.029242074666713455,-1.3042911177774879,0.0014116713030657832,1.9361084220716362,0.013007571707490931,-0.6281407035175879,0.017419842594302317,-1.897400'
0.007407264748975205,-0.9651578033008397,0.0019989125915501967,-1.4419610670511895,0.01065060271760779,0.7097735822272695,0.006438689829638705,0.829393713195654,0.03970207562451365,-0.2523468254769355,0.028711376021407203,-3.318900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005776727183660643,-0.7260582298700355,0.013018222908427217,0.552455665432849,0.029193756039458278,-1.3065064018813692,0.0012749914256826624,0.7506943923128894,0.01291112241551607,-0.6540222367560498,0.01747735371891871,-1.948600'
0.006916758198433492,-0.9407337723424272,0.010910443804122621,1.7998560115190785,0.011351008366828268,0.7249003262051468,0.006206265224744379,0.8725242125468983,0.029160725168913496,-0.2683843263553409,0.02784809421567235,-3.315500',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.006070591263447877,-0.672992798977051,0.013532458956051987,0.5464182285121032,0.02915145932205366,-1.3164823591363874,0.0011875976799091727,0.7452675510508272,0.013135685058815029,-0.6622516556291391,0.01743876812541962,-1.917300'
0.00849944073679952,-1.0079629069650238,0.0015290038264849763,-0.6058770069675855,0.011336840195900599,0.7138268256121065,0.005488103711988708,0.9067827348567283,0.04001120313687833,-0.25188282411022395,0.02926398159880837,-3.322700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.006218731440973356,-0.6961364427427775,0.012967881151962818,0.547825134217158,0.02962436307619386,-1.3194352816994326,0.0013682095418386163,0.9839614287119945,0.012864416765937083,-0.6263309532757109,0.017310172322765473,-1.905300'
0.007573864109730144,-0.848320325755005,0.0013831115168238227,-0.8200082000820008,0.010594555881514726,0.7194244604316548,0.007027762472872837,0.8208832703989493,0.028997442425578068,-0.26829071982400127,0.027014979806302596,-3.313700',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.006118906257744241,-0.6533812479581836,0.012855949090441602,0.5415357955160837,0.029344186769879953,-1.3144058885383807,0.0014500365264201007,0.6855419208884623,0.012906773087313028,-0.6366182836771073,0.017301606800223537,-1.898200'
0.007791639103743336,-0.9240436148586213,0.002068140685683772,-1.1659088259298123,0.010506662800214756,0.701508242721852,0.01807265931952823,0.5621451458766654,0.039433265113784685,-0.25083402312689695,0.02924523887511113,-3.343200',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.006046340361800915,-0.732922896511287,0.013680227420100631,0.5464480874316939,0.029705852647088526,-1.321178491214163,0.0012598745820051106,1.0013016921998599,0.012834103807365235,-0.6421782686873877,0.01719589912197739,-1.905400'
0.008926841852962417,-1.0577533319229955,0.0019172639263341186,-0.680781537204711,0.010665199135265653,0.7374631268436578,0.007032630703199777,0.7690532953933708,0.02844893558307516,-0.26778780494336285,0.028641723544356006,-3.337400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000000',0.005585830758265353,-0.6940588561910049,0.013315774265668339,0.5409206469410938,0.02960165058803679,-1.3236267372600927,0.0013202768514935432,1.0590976488032195,0.013021918493207768,-0.6503642039542143,0.017218075535697375,-1.930700'
